Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::AGENTS::AGENT,2656.0251957022,0,-1342.2581005417,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2659.59602450285,0,-1336.25845231352,1,0,0,0,1,0
INSTANTIATE::TARGETS::INTERSECTIONS,2677.1407566279,0,-1314.42632830184,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2623.86536456801,0,-1239.06769805632,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2653.3981950225,0,-1235.63068761549,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2616.13779124591,0,-1262.54097923192,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2583.90458480425,0,-1255.73947695524,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2554.37175434975,0,-1227.2389984447,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2616.4096902153,2.58522275956011,-1203.11312928956,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2590.15357067489,0,-1226.35184597383,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2651.32817259047,0,-1199.55315380006,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2648.05146167638,2.58522275956011,-1179.75144755662,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2599.55379326874,2.58522275956011,-1177.3857076343,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2573.29767372834,0,-1200.62442431856,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2644.82111019331,0,-571.60713561197,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2615.28827973881,0,-575.044146052795,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2627.63258676345,2.58522275956011,-529.278626646614,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2644.58190436944,0,-538.236541375788,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2590.37218298686,2.58522275956011,-556.188918263045,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2604.04478967875,2.58522275956011,-545.345126748781,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2575.08829415119,0,-558.345330715539,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2571.8115832371,2.58522275956011,-506.606135520732,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2607.59339956224,2.58522275956011,-505.718983049861,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2581.33728002183,0,-528.957699734124,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2642.51188193741,0,-502.159007560354,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2625.56256433142,2.58522275956011,-493.201092831179,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2590.73750261568,2.58522275956011,-479.991561394592,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2577.06489592379,2.58522275956011,-490.835352908855,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2594.01421352978,0,-499.79326763803,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2689.1291035048,0,-1133.94383318385,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2695.71501726556,0,-1142.03424058497,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2689.1291035048,0,-1150.22201318733,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2691.0385537497,0,-968.561088614008,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2697.62446751047,0,-981.616066651874,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2691.0385537497,0,-991.371224634544,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2666.57821578723,0,-983.302455769062,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2667.08740251921,0,-964.717140052007,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2691.0385537497,0,-828.889392851126,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2691.0385537497,0,-806.07925683059,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2691.0385537497,0,-722.598115234594,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2691.0385537497,0,-696.106032943611,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2697.62446751047,0,-817.46490098027,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2700.10875202354,0,-708.958198248192,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2691.0385537497,0,-556.03676612454,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2691.0385537497,0,-582.528848415523,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2662.17262585133,0,-397.480435554703,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2678.70717495412,0,-392.691631264375,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2692.58251340041,0,-403.129959269844,1,0,0,0,1,0
INSTANTIATE::TARGETS::INTERSECTIONS,2678.33841246358,0,-423.949107883716,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2703.20946716166,0,-445.25857861452,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2695.80980491903,0,-449.809173041803,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2697.59047230362,0,-445.654282477762,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2700.0042658694,0,-443.992326252145,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2692.33928962081,0,-447.556501634587,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2655.8927140333,0,-444.007577458715,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2659.88932305205,0,-443.493162436501,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2663.09452434431,0,-443.888866299743,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2662.46139816312,0,-447.014926819355,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2666.03222696377,0,-441.015278591182,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2701.0132485517,0,-423.448956695035,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2656.98514480473,0,-422.797841182015,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2564.48138307528,0,-503.230278078855,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2663.42560596151,0,-1289.49978326664,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2678.6451058474,0,-996.043477197153,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2678.6451058474,0,-960.584706480187,1,0,0,0,1,0
INSTANTIATE::TARGETS::INTERSECTIONS,2678.58533829524,0,-976.872286907547,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2697.64149217084,0,-570.626410804792,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2690.81619090513,0,-997.370872862717,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2691.44931708632,0,-994.244812343105,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2688.24411579406,0,-993.849108479863,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2692.38785322332,0,-969.617508929791,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2693.02097940451,0,-966.491448410179,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2689.81577811225,0,-966.095744546937,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2690.47840297842,0,-1135.00025349963,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2691.11152915961,0,-1131.87419298002,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2687.90632786735,0,-1131.47848911678,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2692.73415703836,0,-1294.66360000375,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2693.36728321954,0,-1291.53753948414,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2690.16208192728,0,-1291.14183562089,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2664.77490543513,0,-1290.55620358242,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2665.40803161632,0,-1287.43014306281,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2662.20283032406,0,-1287.03443919957,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2692.38785322332,0,-697.162453259394,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2693.02097940451,0,-694.036392739782,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2689.81577811225,0,-693.64068887654,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2692.38785322332,0,-557.093186440322,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2693.02097940451,0,-553.96712592071,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2689.81577811225,0,-553.571422057468,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2688.90674066023,0,-1156.2216614155,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2689.53986684142,0,-1153.09560089589,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2686.33466554916,0,-1152.69989703265,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2690.81619090513,0,-728.597763462767,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2691.44931708632,0,-725.471702943155,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2690.81619090513,0,-588.528496643696,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2691.44931708632,0,-585.402436124084,1,0,0,0,1,0
